"Aplicativo","Pasta","BaixaAtualizacaoBeta","VersaoListada","VersaoMinimaBanco","CarregadoEm","CarregadoPor","StatusProducao","EnviadoProducaoEm","EnviadoProducaoPor","OQueMudou","Fonte"
"WDLLNFE.ZIP","ESTACAO","1","10/09/2026 16:52:15","184","10/09/2026 16:52:22","WILSON WEBER","Producao confirmada","14/09/2026 08:58:27","FRANCISCO SCHWARZ MORAES","Ajustado Bug onde colocava como optante do simples para regime Normal","Portal Gerencial Weber - ultimas versoes beta"
"WDLLPE.ZIP","ESTACAO","1","09/05/2025 10:56:23","180","09/05/2025 10:56:23","WILSON WEBER","Producao confirmada","21/07/2025 09:11:53","FRANCISCO SCHWARZ MORAES","Foi adicionado mensagem toda vez que abrir de que esta ferramenta foi descontinuada","Portal Gerencial Weber - ultimas versoes beta"
"WEBERAPPUPLOADER.ZIP","OUTROS","0","15/05/2026 11:54:34","180","15/05/2026 11:54:15","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Ajustado para não validar dlls internas de SITEF32.ZIP.Z","Portal Gerencial Weber - ultimas versoes beta"
"WEBER_PEDIDOS.ZIP","APPS_ANDROID","0","26/09/2024 09:27:05","180","26/09/2024 09:27:05","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Criado nova configuração para o aplicativo: | Parâmetro: #APP_PEDIDOS_SOMA_ESTOQUE_TODAS_LOJAS=False | Configuração: O valor informado corresponde ao fato de somar o estoque(EST_ATUAL) de todas as lojas representando como saldo de estoque do produto na sincronização local, quando True irá somar. Default é FALSE.","Portal Gerencial Weber - ultimas versoes beta"
"WGALERTAS.ZIP","ESTACAO","1","26/08/2026 10:34:55","202","26/08/2026 10:34:43","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:03:42","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WGCADPROF.ZIP","ESTACAO","1","28/03/2024 09:58:00","180","28/03/2024 09:58:00","FRANCISCO SCHWARZ MORAES","Producao confirmada","09/07/2025 16:47:01","FRANCISCO SCHWARZ MORAES","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WGCOMPRAS.ZIP","ESTACAO","1","27/08/2026 17:22:22","180","27/08/2026 17:22:30","JEFERSON DA ROSA","Producao confirmada","03/09/2026 18:01:24","FRANCISCO SCHWARZ MORAES","- Ajustes e correções conforme demandas via PlannerX. | - Inclusao de novas funcionalidades e recursos | - Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - ultimas versoes beta"
"WGCRESCEVENDAS.ZIP","VPN","1","27/08/2026 16:50:16","180","27/08/2026 16:50:20","JEFERSON DA ROSA","Nao confirmado","","","- Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - ultimas versoes beta"
"WGCRM.ZIP","ESTACAO","1","28/03/2024 09:56:12","180","28/03/2024 09:56:12","FRANCISCO SCHWARZ MORAES","Producao confirmada","09/07/2025 16:27:51","FRANCISCO SCHWARZ MORAES","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WGESTOQUE.ZIP","ESTACAO","1","08/09/2026 10:35:41","180","08/09/2026 10:35:37","JEFERSON DA ROSA","Nao confirmado","","","- Correção em comportamento ao editar Etapas de Ordem de Produção","Portal Gerencial Weber - ultimas versoes beta"
"WGFECHACX.ZIP","PDV","1","27/08/2026 17:45:41","181","27/08/2026 17:45:45","JEFERSON DA ROSA","Producao confirmada","03/09/2026 18:01:12","FRANCISCO SCHWARZ MORAES","Primeiro upload - Projeto base","Portal Gerencial Weber - ultimas versoes beta"
"WGFINANC.ZIP","ESTACAO","1","27/08/2026 10:34:50","220","27/08/2026 10:34:37","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:03:31","FRANCISCO SCHWARZ MORAES","- Removido a opção ""Cadastros"" de utilitarios/configs e colocado como primeira opção da barra superior do menu do módulo. | - Adicionado opção de abrir Cadastro de carteiras | - Adicionado opção de abrir Cadastro de clientes/fornecedores | -- Ambos as opções acima validam a permissão de Ferramentas > Configura Menu.","Portal Gerencial Weber - ultimas versoes beta"
"WGHELPS.ZIP","ESTACAO","1","26/08/2026 10:52:46","180","26/08/2026 10:52:34","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:03:39","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WGLCTONOTA.ZIP","ESTACAO","1","11/09/2026 15:06:13","227","11/09/2026 15:05:50","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Ajustado botão de cadastro de produtos na tela de associação de código do fornecedor","Portal Gerencial Weber - ultimas versoes beta"
"WGLOGS.ZIP","ESTACAO","1","26/08/2026 10:24:25","180","26/08/2026 10:24:14","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:03:57","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WGMCONN.ZIP","ESTACAO","1","23/04/2025 10:45:27","180","23/04/2025 10:45:27","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","- Adicionado syncfusion licensing para utilitarios | V1.03","Portal Gerencial Weber - ultimas versoes beta"
"WGMCPROD.ZIP","ESTACAO","1","28/03/2024 09:45:04","180","28/03/2024 09:45:04","FRANCISCO SCHWARZ MORAES","Producao confirmada","09/07/2025 16:45:21","FRANCISCO SCHWARZ MORAES","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WGNFE.ZIP","ESTACAO","1","26/08/2026 10:16:52","191","26/08/2026 10:16:41","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:04:07","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WGNOTIFICACOES.ZIP","COMUM","1","31/08/2026 13:25:29","229","31/08/2026 13:25:12","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:00:43","FRANCISCO SCHWARZ MORAES","Criado nova notificação ""Carga PDV Desatualizada""","Portal Gerencial Weber - ultimas versoes beta"
"WGNTFVERSION.ZIP","ESTACAO","1","09/06/2026 17:00:37","180","09/06/2026 17:00:25","FRANCISCO SCHWARZ MORAES","Producao confirmada","09/06/2026 17:00:41","FRANCISCO SCHWARZ MORAES","Ajuste no erro que persistia em alguns retaguardas fecharem após a validação inicial","Portal Gerencial Weber - ultimas versoes beta"
"WGPED.ZIP","ESTACAO","1","26/08/2026 10:11:05","218","26/08/2026 10:11:22","IGOR VILLELA","Producao confirmada","03/09/2026 18:04:15","FRANCISCO SCHWARZ MORAES","Recompilado para adequar a desativação temporária da gravação do LOG_FORM no utilitários","Portal Gerencial Weber - ultimas versoes beta"
"WGPESSOA.ZIP","ESTACAO","1","26/08/2026 10:13:59","208","26/08/2026 10:14:16","IGOR VILLELA","Producao confirmada","03/09/2026 18:04:11","FRANCISCO SCHWARZ MORAES","Recompilado por conta de alteração no utilitários para não gravar mais LOG_FORM","Portal Gerencial Weber - ultimas versoes beta"
"WGPRECOS.ZIP","ESTACAO","1","27/08/2026 17:44:21","185","27/08/2026 17:44:24","JEFERSON DA ROSA","Producao confirmada","03/09/2026 18:01:17","FRANCISCO SCHWARZ MORAES","- Ajustes e correções conforme demandas via PlannerX. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - ultimas versoes beta"
"WGPRODUTOS.ZIP","ESTACAO","1","01/09/2026 15:44:49","192","01/09/2026 15:44:34","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:00:14","FRANCISCO SCHWARZ MORAES","Removido opção de chamada teste da nova entrada de notas agora que o Menu tem a opção padrão","Portal Gerencial Weber - ultimas versoes beta"
"WGREPORT.ZIP","ESTACAO","1","26/08/2026 10:18:17","180","26/08/2026 10:18:06","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:04:01","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WGSYNC.ZIP","VPN","1","27/08/2026 16:14:32","180","27/08/2026 16:14:35","JEFERSON DA ROSA","Producao confirmada","03/09/2026 18:03:28","FRANCISCO SCHWARZ MORAES","- Ajuste no sistema de Logs, incluindo opção de gravação em BD. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - ultimas versoes beta"
"WGSYNCLIB.ZIP","ESTACAO","1","02/09/2026 09:45:45","180","02/09/2026 09:45:45","JEFERSON DA ROSA","Producao confirmada","03/09/2026 17:59:46","FRANCISCO SCHWARZ MORAES","- Correção de modo de compilação pós exclusao da funcionalidade de Log Forms | - Correção nas mensagens de erro na consulta de Produtos. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - ultimas versoes beta"
"WGTABS.ZIP","ESTACAO","1","26/08/2026 10:25:25","180","26/08/2026 10:25:14","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:03:53","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WG_CCUSTO.ZIP","ESTACAO","1","26/08/2026 10:27:41","180","26/08/2026 10:27:29","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:03:50","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WG_CONTAS.ZIP","ESTACAO","1","26/08/2026 10:28:34","180","26/08/2026 10:28:22","FRANCISCO SCHWARZ MORAES","Producao confirmada","03/09/2026 18:03:46","FRANCISCO SCHWARZ MORAES","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - ultimas versoes beta"
"WMAIL.ZIP","ESTACAO","1","04/09/2024 10:39:42","180","04/09/2024 10:39:42","FRANCISCO SCHWARZ MORAES","Producao confirmada","04/09/2024 11:20:14","FRANCISCO SCHWARZ MORAES","Primeiro carregamento para beta, dll responsável pelo envio e configuração dos e-mails utilizados nos módulos desenvolvidos em C#, exemplo: WGCOMPRAS.DLL","Portal Gerencial Weber - ultimas versoes beta"
"WMOOVIN.ZIP","VPN","0","28/03/2024 10:55:09","180","28/03/2024 10:55:09","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versão do beta em 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0001.ZIP","ESTACAO","1","26/08/2026 19:27:31","180","26/08/2026 19:27:37","WILSON WEBER","Producao confirmada","03/09/2026 18:03:35","FRANCISCO SCHWARZ MORAES","Adicionado no Bloco-M os registros da lei-complementar. | Obs:ainda e beta. Nao consegui instalar o validador na minha maquina.  Hd com pouco espaco | Portanto ainda nao validei","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0003.ZIP","ESTACAO","1","12/12/2024 19:33:25","180","12/12/2024 19:33:25","WILSON WEBER","Producao confirmada","12/12/2024 19:50:29","FRANCISCO SCHWARZ MORAES","Foi recompilado para ser compativel com menu","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0004.ZIP","ESTACAO","0","28/03/2024 09:41:04","180","28/03/2024 09:41:04","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0005.ZIP","ESTACAO","1","12/12/2024 19:33:52","180","12/12/2024 19:33:53","WILSON WEBER","Producao confirmada","12/12/2024 19:50:07","FRANCISCO SCHWARZ MORAES","Foi recompilado para ser compativel com menu","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0006.ZIP","ESTACAO","1","20/02/2025 12:43:31","180","20/02/2025 12:43:32","WILSON WEBER","Producao confirmada","21/02/2025 10:42:08","FRANCISCO SCHWARZ MORAES","Ajustado Bug da Imagem do controle patrimonial","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0007.ZIP","ESTACAO","0","28/03/2024 09:34:48","180","28/03/2024 09:34:49","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0008.ZIP","ESTACAO","1","27/01/2025 20:22:34","180","27/01/2025 20:22:34","WILSON WEBER","Producao confirmada","21/02/2025 10:49:46","FRANCISCO SCHWARZ MORAES","Recompilado para fins compatibilidade","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0009.ZIP","ESTACAO","0","28/03/2024 09:41:14","180","28/03/2024 09:41:14","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0010.ZIP","ESTACAO","0","28/03/2024 09:59:36","180","28/03/2024 09:59:36","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0011.ZIP","ESTACAO","1","27/01/2025 20:24:20","180","27/01/2025 20:24:20","WILSON WEBER","Producao confirmada","21/02/2025 10:49:31","FRANCISCO SCHWARZ MORAES","Recompilado para fins compatibilidade","Portal Gerencial Weber - ultimas versoes beta"
"WPAC0012.ZIP","ESTACAO","1","23/01/2026 13:20:17","180","23/01/2026 13:20:23","WILSON WEBER","Producao confirmada","04/05/2026 08:52:49","FRANCISCO SCHWARZ MORAES","Ajustado Bug quando tentava excluir uma mdfe","Portal Gerencial Weber - ultimas versoes beta"
