"Aplicativo","DataHora","Data","Usuario","Descricao","StatusProducao","CriterioConfirmacao","EnviadoProducaoEm","EnviadoProducaoPor","VersaoListada","VersaoMinimaBanco","FonteBeta","FonteProducao"
"SERVIDOR.ZIP","18/08/2026 13:35:39","18/08/2026","32","adicionado upd_227 | ajustado para danfe simplificada, para quando cStat 120  Autorizado o uso da NF-e com Alerta, Retorna Msg de Alerta. | Obs: Atualizar ecf_ws.zip e servidor.zip","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","18/08/2026 14:38:31","18/08/2026","32","Recompilado pacote. ajustado erro no upd_227","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","19/08/2026 14:45:21","19/08/2026","32","2174 -  No PDV quando consultava o X-MAPA o ServerNFE não estava considerando a Hora.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","26/08/2026 19:00:20","26/08/2026","32","Adicionado o UPD_228","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","31/08/2026 10:54:26","31/08/2026","32","Adicionado UPD_229 referente notificacao do comunica PDV","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","02/09/2026 17:14:00","02/09/2026","32","Adicionado os UPDs  230 ate 291 referente estoque novo","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","08/09/2026 13:36:53","08/09/2026","32","Ajustado API da listagem do fechamneto Mapa","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","09/09/2026 17:38:24","09/09/2026","32","Adicionado UPD_292, Correcao de lentidao, Cria Indices","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"SERVIDOR.ZIP","10/09/2026 18:31:09","10/09/2026","32","Atualizado e substituido os upds 234,249,250","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WDLLNFE.ZIP","03/08/2026 19:46:47","03/08/2026","32","Adicionado a Mensagem quando item faz faz parte da lei complementar ""Operação sujeita ao disposto na LC n° 224 de 2025""  na  tag InfAdic.infAdFisco","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WDLLNFE.ZIP","07/08/2026 00:02:49","07/08/2026","32","Dependendo da situacao perdia conexao com BD quando usava e-mail","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WDLLNFE.ZIP","10/09/2026 16:52:22","10/09/2026","32","Ajustado Bug onde colocava como optante do simples para regime Normal","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","14/09/2026 08:58:27","FRANCISCO SCHWARZ MORAES","10/09/2026 16:52:15","184","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGALERTAS.ZIP","26/08/2026 10:34:04","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGALERTAS.ZIP","26/08/2026 10:34:43","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:42","FRANCISCO SCHWARZ MORAES","26/08/2026 10:34:55","202","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGCOMPRAS.ZIP","27/08/2026 17:22:30","27/08/2026","1190","- Ajustes e correções conforme demandas via PlannerX. | - Inclusao de novas funcionalidades e recursos | - Recompilação do Projeto visando atualizar Utilitarios.cs","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:01:24","FRANCISCO SCHWARZ MORAES","27/08/2026 17:22:22","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
